Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
227, 1, Operation Attack Barb Camp running
227, 1, Attack Barb Camp, ,0, Ready, UNIT_SPEARMAN; 
227, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
227, 4, Operation Settle New City running
227, 4, Settle New City, ,0, Not Ready, 
227, 4, Operation Attack Barb Camp running
227, 4, Attack Barb Camp, ,0, Not Ready, UNIT_BOMBARD; 
227, 4, Attack Barb Camp, No recruits to reach minimum, , , 
227, 4, Attack Barb Camp, No recruits to match strength, , Enemy Str: 24.0, 
227, 4, Attack Barb Camp, No recruits to reach minimum, , , 
227, 4, Attack Barb Camp, No recruits to match strength, , Enemy Str: 24.0, 
227, 4, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_JAPANESE_SAMURAI
227, 4, Attack Barb Camp, Operation Move, UNIT_BOMBARD, 64:30, 52:30, 64:30
227, 5, Operation Settle New City running
227, 5, Settle New City, ,0, Not Ready, 
227, 5, Operation Naval Superiority running
227, 5, Naval Superiority, ,0, Not Ready, 
227, 5, Naval Superiority, No recruits to reach minimum, , , 
227, 5, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
227, 6, Operation Naval Superiority running
227, 6, Naval Superiority, ,0, Not Ready, 
227, 6, Operation Attack Barb Camp running
227, Attack Barb Camp, 6, , Battle line, 57:38, 0 endangered
227, 6, Attack Barb Camp, ,0, Ready, UNIT_PIKEMAN; 
227, 6, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_PIKEMAN
227, 6, Attack Barb Camp, Operation Attack Units, UNIT_PIKEMAN, At 56:39, Move 57:38, Attack -9999:-9999
227, 6, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
227, 6, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
227, 6, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
227, 8, Operation Naval Superiority running
227, 8, Naval Superiority, ,0, Not Ready, 
227, 8, Operation Attack Enemy City running
227, 8, Attack Enemy City, ,0, Not Ready, 
227, 8, Attack Enemy City, ,1, Ready, 
227, 8, Attack Enemy City, Recruiting minimums, , , UNIT_TREBUCHET
227, 8, Attack Enemy City, No recruits to reach minimum, , , 
227, 8, Attack Enemy City, No recruits to match strength, , Enemy Str: 90.0, 
227, 8, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
227, 8, Attack Enemy City, Operation Move, UNIT_TREBUCHET, 60:18, 60:18, 60:18
227, 8, Naval Superiority, No recruits to reach minimum, , , 
227, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
227, 11, Operation Naval Superiority running
227, 11, Naval Superiority, ,0, Not Ready, 
227, 11, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
227, 11, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
227, 11, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
227, 11, Naval Superiority, Operation Recruit, 2 units, Recruited 2, Contract for: UNIT_WARRIOR_MONK
227, 12, Operation Naval Superiority running
227, 12, Naval Superiority, ,0, Not Ready, 
227, 12, Naval Superiority, No recruits to reach minimum, , , 
227, 12, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
227, 13, Operation Naval Superiority running
227, 13, Naval Superiority, ,0, Not Ready, 
227, 13, Operation Attack Barb Camp running
227, 13, Attack Barb Camp, ,0, Ready, UNIT_CROSSBOWMAN; UNIT_PIKEMAN; 
227, 13, Attack Barb Camp, No recruits to reach minimum, , , 
227, 13, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
227, 13, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_PIKEMAN
227, 13, Attack Barb Camp, Operation Move, UNIT_PIKEMAN, 16:29, 3:31, 16:29
227, 13, Attack Barb Camp, Operation Move, UNIT_CROSSBOWMAN, 18:30, 4:30, 18:30
227, 13, Naval Superiority, No recruits to reach minimum, , , 
227, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
227, 14, Operation Naval Superiority running
227, 14, Naval Superiority, ,0, Not Ready, 
227, 14, Operation Attack Barb Camp running
227, 14, Attack Barb Camp, ,0, Ready, UNIT_PIKEMAN; 
227, 14, Attack Barb Camp, No recruits to reach minimum, , , 
227, 14, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
227, 14, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_PIKEMAN
227, 14, Attack Barb Camp, Attack Target Move Direct, UNIT_PIKEMAN, At 12:21, Move -9999:-9999, Arrive 11:21
227, 14, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
227, 14, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
227, 14, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
227, 63, Operation Barbarian City Assault running
227, 63, Barbarian City Assault, ,0, Not Ready, 
227, 63, Operation Barbarian City Assault running
227, 63, Barbarian City Assault, ,0, Not Ready, 
227, 63, Operation Barbarian Attack running
227, 63, Barbarian Attack, ,0, Not Ready, 
227, 63, Operation Barbarian City Assault running
227, 63, Barbarian City Assault, ,0, Not Ready, 
227, 63, Operation Barbarian City Assault running
227, 63, Barbarian City Assault, ,0, Not Ready, 
227, 63, Operation Barbarian Attack running
227, 63, Barbarian Attack, ,0, Not Ready, 
227, 63, Operation Barbarian City Assault running
227, 63, Barbarian City Assault, ,0, Not Ready, 
227, 63, Operation Barbarian Attack running
227, 63, Barbarian Attack, ,0, Not Ready, UNIT_ARCHER; 
227, 63, Operation Barbarian Attack running
227, 63, Barbarian Attack, ,0, Not Ready, 
227, 63, Operation Barbarian City Assault running
227, 63, Barbarian City Assault, ,0, Not Ready, 
227, 63, Barbarian Attack, Operation Move, UNIT_ARCHER, 66:4, 66:4, 66:4
228, 1, Operation Attack Barb Camp running
228, 1, Attack Barb Camp, ,0, Ready, UNIT_SPEARMAN; 
228, 1, Operation Settle New City running
228, 1, Settle New City, ,0, Not Ready, 
228, 1, Settle New City, No recruits to reach minimum, , , 
228, 1, Settle New City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
228, 1, Attack Barb Camp, No recruits to reach minimum, , , 
228, 1, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
228, 1, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_BOMBARD
228, 1, Attack Barb Camp, Attack Target Move Direct, UNIT_SPEARMAN, At 52:28, Move -9999:-9999, Arrive 52:28
228, 1, Attack Barb Camp, Attack Target Melee Attack, UNIT_SPEARMAN, At 52:28
228, 2, Operation Attack Barb Camp running
228, 2, Attack Barb Camp, ,0, Not Ready, 
228, 2, Operation Settle New City running
228, 2, Settle New City, ,0, Ready, UNIT_KNIGHT; UNIT_SETTLER; 
228, 2, Settle New City, No recruits to reach minimum, , , 
228, 2, Settle New City, No recruits to match strength, , Enemy Str: 50.0, 
228, 2, Settle New City, No recruits to reach minimum, , , 
228, 2, Settle New City, No recruits to match strength, , Enemy Str: 50.0, 
228, 2, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
228, 2, Settle New City, Operation Protect Units, UNIT_KNIGHT, Fortify
228, 2, Settle New City, Operation Move, UNIT_SETTLER, 30:26, 36:26, 31:26
228, 2, Attack Barb Camp, No recruits to reach minimum, , , 
228, 2, Attack Barb Camp, No recruits to reach minimum, , , 
228, 2, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
228, 3, Operation Settle New City running
228, 3, Settle New City, ,0, Not Ready, 
228, 3, Operation Naval Superiority running
228, 3, Naval Superiority, ,0, Not Ready, 
228, 3, Naval Superiority, No recruits to reach minimum, , , 
228, 3, Naval Superiority, No recruits to reach minimum, , , 
228, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
228, 4, Operation Settle New City running
228, 4, Settle New City, ,0, Not Ready, 
228, 4, Operation Attack Barb Camp running
228, 4, Attack Barb Camp, ,0, Not Ready, UNIT_BOMBARD; 
228, 4, Attack Barb Camp, No recruits to reach minimum, , , 
228, 4, Attack Barb Camp, No recruits to match strength, , Enemy Str: 24.0, 
228, 4, Attack Barb Camp, No recruits to reach minimum, , , 
228, 4, Attack Barb Camp, No recruits to match strength, , Enemy Str: 24.0, 
228, 4, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_JAPANESE_SAMURAI
228, 4, Attack Barb Camp, Operation Move, UNIT_BOMBARD, 64:30, 52:30, 64:30
228, 5, Operation Settle New City running
228, 5, Settle New City, ,0, Not Ready, 
228, 5, Operation Naval Superiority running
228, 5, Naval Superiority, ,0, Not Ready, 
228, 5, Naval Superiority, No recruits to reach minimum, , , 
228, 5, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
228, 6, Operation Naval Superiority running
228, 6, Naval Superiority, ,0, Not Ready, 
228, 6, Operation Attack Barb Camp running
228, 6, Attack Barb Camp, ,0, Not Ready, 
228, 6, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
228, 6, Attack Barb Camp, Operation complete
228, 6, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
228, 6, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
228, 6, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
228, 8, Operation Naval Superiority running
228, 8, Naval Superiority, ,0, Not Ready, 
228, 8, Operation Attack Enemy City running
228, 8, Attack Enemy City, ,0, Not Ready, 
228, 8, Attack Enemy City, ,1, Ready, 
228, 8, Attack Enemy City, Recruiting minimums, , , UNIT_TREBUCHET
228, 8, Attack Enemy City, No recruits to reach minimum, , , 
228, 8, Attack Enemy City, No recruits to match strength, , Enemy Str: 90.0, 
228, 8, Attack Enemy City, No recruits to reach minimum, , , 
228, 8, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
228, 8, Attack Enemy City, Operation Move, UNIT_TREBUCHET, 60:18, 60:18, 60:18
228, 8, Naval Superiority, No recruits to reach minimum, , , 
228, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
228, 11, Operation Naval Superiority running
228, 11, Naval Superiority, ,0, Not Ready, 
228, 11, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
228, 11, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
228, 11, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
228, Naval Superiority, 11, , Battle line, 28:20, 0 endangered
228, 11, Naval Superiority, Operation Recruit, 2 units, Recruited 2, Contract for: UNIT_WARRIOR_MONK
228, 12, Operation Naval Superiority running
228, 12, Naval Superiority, ,0, Not Ready, 
228, 12, Naval Superiority, No recruits to reach minimum, , , 
228, 12, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
228, 13, Operation Naval Superiority running
228, 13, Naval Superiority, ,0, Not Ready, 
228, 13, Operation Attack Barb Camp running
228, 13, Attack Barb Camp, ,0, Ready, UNIT_CROSSBOWMAN; UNIT_PIKEMAN; 
228, 13, Attack Barb Camp, No recruits to reach minimum, , , 
228, 13, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
228, 13, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_PIKEMAN
228, 13, Attack Barb Camp, Operation Move, UNIT_PIKEMAN, 16:29, 3:31, 16:29
228, 13, Attack Barb Camp, Operation Move, UNIT_CROSSBOWMAN, 18:30, 4:30, 18:30
228, 13, Naval Superiority, No recruits to reach minimum, , , 
228, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
228, 14, Operation Naval Superiority running
228, 14, Naval Superiority, ,0, Not Ready, 
228, 14, Operation Attack Barb Camp running
228, 14, Attack Barb Camp, ,0, Ready, UNIT_PIKEMAN; 
228, 14, Attack Barb Camp, No recruits to reach minimum, , , 
228, 14, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
228, 14, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_PIKEMAN
228, 14, Attack Barb Camp, Attack Target Move Direct, UNIT_PIKEMAN, At 11:21, Move -9999:-9999, Arrive 9:21
228, 14, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
228, 14, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
228, 14, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
228, 14, Naval Superiority, Operation Move, UNIT_GALLEY, 72:29, 4:19, 72:29
228, 63, Operation Barbarian City Assault running
228, 63, Barbarian City Assault, ,0, Not Ready, 
228, 63, Operation Barbarian City Assault running
228, 63, Barbarian City Assault, ,0, Not Ready, 
228, 63, Operation Barbarian Attack running
228, 63, Barbarian Attack, ,0, Not Ready, 
228, 63, Operation Barbarian City Assault running
228, 63, Barbarian City Assault, ,0, Not Ready, 
228, 63, Operation Barbarian City Assault running
228, 63, Barbarian City Assault, ,0, Not Ready, 
228, 63, Operation Barbarian Attack running
228, 63, Barbarian Attack, ,0, Not Ready, 
228, 63, Operation Barbarian City Assault running
228, 63, Barbarian City Assault, ,0, Not Ready, 
228, 63, Operation Barbarian Attack running
228, 63, Barbarian Attack, ,0, Not Ready, UNIT_ARCHER; 
228, 63, Operation Barbarian Attack running
228, 63, Barbarian Attack, ,0, Not Ready, 
228, 63, Operation Barbarian City Assault running
228, 63, Barbarian City Assault, ,0, Not Ready, 
228, 63, Barbarian Attack, Operation Move, UNIT_ARCHER, 66:4, 66:4, 66:4
229, 1, Operation Attack Barb Camp running
229, Attack Barb Camp, 1, , Battle line, 53:30, 0 endangered
229, 1, Attack Barb Camp, ,0, Ready, UNIT_SPEARMAN; 
229, 1, Operation Settle New City running
229, 1, Settle New City, ,0, Not Ready, 
229, 1, Settle New City, No recruits to reach minimum, , , 
229, 1, Settle New City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
229, 1, Attack Barb Camp, No recruits to reach minimum, , , 
229, 1, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
229, 1, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_BOMBARD
229, 1, Attack Barb Camp, Attack Target Move Direct, UNIT_SPEARMAN, At 52:28, Move -9999:-9999, Arrive 52:28
229, 1, Attack Barb Camp, Attack Target Melee Attack, UNIT_SPEARMAN, At 52:28
229, 2, Operation Attack Barb Camp running
229, 2, Attack Barb Camp, ,0, Not Ready, 
229, 2, Operation Settle New City running
229, 2, Settle New City, ,0, Ready, UNIT_KNIGHT; UNIT_SETTLER; 
229, 2, Settle New City, No recruits to reach minimum, , , 
229, 2, Settle New City, No recruits to match strength, , Enemy Str: 50.0, 
229, 2, Settle New City, No recruits to reach minimum, , , 
229, 2, Settle New City, No recruits to match strength, , Enemy Str: 50.0, 
229, 2, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
229, 2, Settle New City, Operation Move, UNIT_SETTLER, 31:26, 36:26, 33:26
229, 2, Settle New City, Operation Move, UNIT_KNIGHT, 26:23, 35:26, 29:25
229, 2, Attack Barb Camp, Operation complete
229, 3, Operation Settle New City running
229, 3, Settle New City, ,0, Not Ready, 
229, 3, Operation Naval Superiority running
229, 3, Naval Superiority, ,0, Not Ready, 
229, 3, Naval Superiority, No recruits to reach minimum, , , 
229, 3, Naval Superiority, No recruits to reach minimum, , , 
229, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
229, 4, Operation Settle New City running
229, 4, Settle New City, ,0, Not Ready, 
229, 4, Operation Attack Barb Camp running
229, 4, Attack Barb Camp, ,0, Not Ready, UNIT_BOMBARD; 
229, 4, Attack Enemy City, Started
229, 4, Attack Barb Camp, No recruits to reach minimum, , , 
229, 4, Attack Barb Camp, No recruits to match strength, , Enemy Str: 24.0, 
229, 4, Attack Barb Camp, No recruits to reach minimum, , , 
229, 4, Attack Barb Camp, No recruits to match strength, , Enemy Str: 24.0, 
229, 4, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_JAPANESE_SAMURAI
229, 4, Attack Barb Camp, Operation Move, UNIT_BOMBARD, 64:30, 52:30, 64:30
229, 4, Attack Enemy City, No recruits to reach minimum, , , 
229, 4, Attack Enemy City, No recruits to reach minimum, , , 
229, 4, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_JAPANESE_SAMURAI
229, 5, Operation Settle New City running
229, 5, Settle New City, ,0, Not Ready, 
229, 5, Operation Naval Superiority running
229, 5, Naval Superiority, ,0, Not Ready, 
229, 5, Naval Superiority, No recruits to reach minimum, , , 
229, 5, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
229, 6, Operation Naval Superiority running
229, 6, Naval Superiority, ,0, Not Ready, 
229, 6, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
229, 6, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
229, 6, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
229, 8, Operation Naval Superiority running
229, 8, Naval Superiority, ,0, Not Ready, 
229, 8, Operation Attack Enemy City running
229, 8, Attack Enemy City, ,0, Not Ready, 
229, 8, Attack Enemy City, ,1, Ready, 
229, 8, Attack Enemy City, Operation complete
229, 8, Naval Superiority, No recruits to reach minimum, , , 
229, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
229, 11, Operation Naval Superiority running
229, 11, Naval Superiority, ,0, Not Ready, 
229, 11, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
229, 11, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
229, 11, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
229, 11, Naval Superiority, Operation Recruit, 2 units, Recruited 2, Contract for: UNIT_WARRIOR_MONK
229, 12, Operation Naval Superiority running
229, 12, Naval Superiority, ,0, Not Ready, 
229, 12, Naval Superiority, No recruits to reach minimum, , , 
229, 12, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
229, 13, Operation Naval Superiority running
229, 13, Naval Superiority, ,0, Not Ready, 
229, 13, Operation Attack Barb Camp running
229, 13, Attack Barb Camp, ,0, Ready, UNIT_CROSSBOWMAN; UNIT_PIKEMAN; 
229, 13, Attack Barb Camp, No recruits to reach minimum, , , 
229, 13, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
229, 13, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_PIKEMAN
229, 13, Attack Barb Camp, Operation Move, UNIT_PIKEMAN, 16:29, 3:31, 16:29
229, 13, Attack Barb Camp, Operation Move, UNIT_CROSSBOWMAN, 18:30, 4:30, 18:30
229, 13, Naval Superiority, No recruits to reach minimum, , , 
229, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
229, 14, Operation Naval Superiority running
229, 14, Naval Superiority, ,0, Not Ready, 
229, 14, Operation Attack Barb Camp running
229, 14, Attack Barb Camp, ,0, Ready, UNIT_PIKEMAN; 
229, 14, Attack Barb Camp, No recruits to reach minimum, , , 
229, 14, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
229, 14, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_PIKEMAN
229, 14, Attack Barb Camp, Attack Target Move Direct, UNIT_PIKEMAN, At 9:21, Move -9999:-9999, Arrive 8:23
229, 14, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
229, 14, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
229, 14, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
229, 63, Operation Barbarian City Assault running
229, 63, Barbarian City Assault, ,0, Not Ready, 
229, 63, Operation Barbarian City Assault running
229, 63, Barbarian City Assault, ,0, Not Ready, 
229, 63, Operation Barbarian Attack running
229, 63, Barbarian Attack, ,0, Not Ready, 
229, 63, Operation Barbarian City Assault running
229, 63, Barbarian City Assault, ,0, Not Ready, 
229, 63, Operation Barbarian City Assault running
229, 63, Barbarian City Assault, ,0, Not Ready, 
229, 63, Operation Barbarian Attack running
229, 63, Barbarian Attack, ,0, Not Ready, 
229, 63, Operation Barbarian City Assault running
229, 63, Barbarian City Assault, ,0, Not Ready, 
229, 63, Operation Barbarian Attack running
229, 63, Barbarian Attack, ,0, Not Ready, UNIT_ARCHER; 
229, 63, Operation Barbarian Attack running
229, 63, Barbarian Attack, ,0, Not Ready, 
229, 63, Operation Barbarian City Assault running
229, 63, Barbarian City Assault, ,0, Not Ready, 
229, 63, Barbarian Attack, Operation Move, UNIT_ARCHER, 66:4, 66:4, 66:4
230, 1, Operation Attack Barb Camp running
230, Attack Barb Camp, 1, , Battle line, 53:30, 0 endangered
230, 1, Attack Barb Camp, ,0, Ready, UNIT_SPEARMAN; 
230, 1, Operation Settle New City running
230, 1, Settle New City, ,0, Not Ready, 
230, 1, Settle New City, No recruits to reach minimum, , , 
230, 1, Settle New City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
230, 1, Attack Barb Camp, No recruits to reach minimum, , , 
230, 1, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
230, 1, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_BOMBARD
230, 1, Attack Barb Camp, Attack Target Move Direct, UNIT_SPEARMAN, At 52:28, Move -9999:-9999, Arrive 52:28
230, 1, Attack Barb Camp, Attack Target Melee Attack, UNIT_SPEARMAN, At 52:28
230, 2, Operation Settle New City running
230, 2, Settle New City, ,0, Ready, UNIT_KNIGHT; UNIT_SETTLER; 
230, 2, Attack Barb Camp, Started
230, 2, Settle New City, No recruits to reach minimum, , , 
230, 2, Settle New City, No recruits to match strength, , Enemy Str: 50.0, 
230, 2, Settle New City, No recruits to reach minimum, , , 
230, 2, Settle New City, No recruits to match strength, , Enemy Str: 50.0, 
230, 2, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
230, 2, Settle New City, Operation Move, UNIT_SETTLER, 33:26, 36:26, 34:26
230, 2, Settle New City, Operation Move, UNIT_KNIGHT, 29:25, 35:26, 31:26
230, 2, Attack Barb Camp, No recruits to reach minimum, , , 
230, 2, Attack Barb Camp, No recruits to reach minimum, , , 
230, 2, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
230, 3, Operation Settle New City running
230, 3, Settle New City, ,0, Not Ready, 
230, 3, Operation Naval Superiority running
230, 3, Naval Superiority, ,0, Not Ready, 
230, 3, Naval Superiority, No recruits to reach minimum, , , 
230, 3, Naval Superiority, No recruits to reach minimum, , , 
230, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_PIKEMAN
230, 4, Operation Settle New City running
230, 4, Settle New City, ,0, Not Ready, 
230, 4, Operation Attack Barb Camp running
230, 4, Attack Barb Camp, ,0, Not Ready, UNIT_BOMBARD; 
230, 4, Operation Attack Enemy City running
230, 4, Attack Enemy City, ,0, Not Ready, 
230, 4, Attack Enemy City, ,1, Ready, 
230, 4, Attack Barb Camp, No recruits to reach minimum, , , 
230, 4, Attack Barb Camp, No recruits to match strength, , Enemy Str: 24.0, 
230, 4, Attack Barb Camp, No recruits to reach minimum, , , 
230, 4, Attack Barb Camp, No recruits to match strength, , Enemy Str: 24.0, 
230, 4, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_JAPANESE_SAMURAI
230, 4, Attack Barb Camp, Operation Move, UNIT_BOMBARD, 64:30, 52:30, 64:30
230, 4, Attack Enemy City, No recruits to reach minimum, , , 
230, 4, Attack Enemy City, No recruits to reach minimum, , , 
230, 4, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_JAPANESE_SAMURAI
230, 5, Operation Settle New City running
230, 5, Settle New City, ,0, Not Ready, 
230, 5, Operation Naval Superiority running
230, 5, Naval Superiority, ,0, Not Ready, 
230, 5, Naval Superiority, No recruits to reach minimum, , , 
230, 5, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
230, 6, Operation Naval Superiority running
230, 6, Naval Superiority, ,0, Not Ready, 
230, 6, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
230, 6, Naval Superiority, Recruiting strength, , Enemy Str: 135.0, UNIT_GALLEY
230, 6, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
230, 8, Operation Naval Superiority running
230, 8, Naval Superiority, ,0, Not Ready, 
230, 8, Wartime Attack Enemy City, Started
230, 8, Wartime Attack Enemy City, Recruiting minimums, , , UNIT_TREBUCHET
