Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
229, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 42, 230, 17, 6, 9, 1, 8, 27, 13, 21, 1, 10, 6, 0
229, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 2, 9, 3, 2083, 265, 9, 7, 33, 0, 5, 15, 9, 15, 2, 7, 17, 0
229, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1543, 237, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
229, CIVILIZATION_SEOUL, 1, 10, 27, 19, 2, 0, 0, 0, 9, 6, 1810, 458, 11, 10, 33, 2, 4, 24, 9, 15, 2, 11, 13, 0
229, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 3, 0, 0, 1, 9, 5, 531, 518, 10, 6, 28, 3, 4, 27, 9, 15, 1, 12, 18, 0
230, CIVILIZATION_NORWAY, 5, 19, 24, 14, 2, 0, 0, 0, 66, 12, 137, 910, 23, 9, 7, 5, 42, 43, 66, 25, 6, 18, 3, 8
230, CIVILIZATION_EGYPT, 5, 37, 31, 24, 1, 0, 0, 0, 85, 21, 113, 444, 74, 62, 27, 29, 50, 110, 85, 50, 11, 36, 0, 58
230, CIVILIZATION_BRAZIL, 8, 47, 39, 17, 2, 0, 0, 0, 101, 28, 244, 470, 124, 24, 68, 47, 109, 140, 101, 80, 13, 46, 6, 13
230, CIVILIZATION_SCYTHIA, 4, 28, 32, 19, 0, 0, 0, 0, 63, 24, 236, 200, 71, 19, 76, 76, 56, 79, 63, 54, 7, 27, 0, 14
230, CIVILIZATION_JAPAN, 3, 23, 23, 16, 1, 0, 0, 0, 46, 12, 274, 120, 25, 25, 29, 28, 51, 75, 46, 37, 4, 22, 17, 12
230, CIVILIZATION_CHINA, 6, 34, 30, 18, 1, 0, 0, 0, 75, 24, 332, 349, 86, 29, 36, 9, 62, 93, 75, 35, 10, 33, 7, 29
230, CIVILIZATION_BRUSSELS, 1, 10, 27, 18, 0, 0, 0, 1, 9, 5, 1353, 273, 11, 6, 30, 1, 3, 24, 9, 15, 1, 11, 17, 0
230, CIVILIZATION_LA_VENTA, 1, 8, 30, 19, 4, 0, 0, 0, 10, 7, 714, 755, 10, 7, 18, 12, 13, 19, 10, 26, 1, 7, 12, 0
230, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 478, 1142, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
230, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 44, 232, 19, 6, 9, 1, 8, 27, 13, 21, 1, 10, 6, 0
230, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 2, 9, 3, 2112, 266, 9, 7, 33, 0, 5, 15, 9, 15, 2, 7, 17, 0
230, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1570, 238, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
230, CIVILIZATION_SEOUL, 1, 10, 27, 19, 2, 0, 0, 0, 9, 6, 1837, 460, 11, 10, 33, 2, 4, 24, 9, 15, 2, 11, 13, 0
230, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 3, 0, 0, 1, 9, 5, 554, 521, 10, 6, 28, 3, 4, 27, 9, 15, 1, 12, 18, 0
231, CIVILIZATION_NORWAY, 5, 19, 24, 14, 2, 0, 0, 0, 66, 12, 131, 916, 23, 9, 7, 5, 42, 43, 66, 25, 6, 18, 3, 8
231, CIVILIZATION_EGYPT, 5, 37, 31, 24, 1, 0, 0, 0, 86, 21, 116, 44, 71, 62, 27, 29, 50, 110, 86, 46, 11, 36, 0, 58
231, CIVILIZATION_BRAZIL, 8, 47, 39, 17, 2, 0, 0, 0, 101, 28, 280, 87, 124, 24, 68, 47, 108, 142, 101, 80, 13, 46, 6, 13
231, CIVILIZATION_SCYTHIA, 4, 28, 32, 19, 0, 0, 0, 0, 63, 25, 299, 278, 71, 19, 78, 78, 56, 77, 63, 54, 7, 27, 0, 14
231, CIVILIZATION_JAPAN, 3, 23, 24, 16, 1, 0, 0, 0, 47, 12, 122, 147, 25, 25, 31, 26, 54, 76, 47, 37, 4, 22, 17, 12
231, CIVILIZATION_CHINA, 6, 34, 30, 18, 1, 0, 0, 0, 75, 25, 345, 359, 90, 29, 39, 9, 64, 96, 75, 39, 10, 33, 11, 29
231, CIVILIZATION_BRUSSELS, 1, 10, 28, 18, 0, 0, 0, 1, 9, 5, 1382, 274, 11, 6, 30, 1, 3, 24, 9, 15, 1, 11, 17, 0
231, CIVILIZATION_LA_VENTA, 1, 8, 30, 19, 4, 0, 0, 0, 10, 7, 719, 767, 10, 7, 18, 12, 13, 19, 10, 26, 1, 7, 12, 0
231, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 495, 1159, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
231, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 46, 234, 18, 6, 9, 1, 8, 27, 13, 21, 1, 10, 6, 0
231, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 2, 9, 3, 2142, 267, 9, 7, 33, 0, 5, 15, 9, 15, 2, 7, 17, 0
231, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1597, 239, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
231, CIVILIZATION_SEOUL, 1, 11, 27, 19, 2, 0, 0, 0, 9, 6, 1862, 462, 11, 9, 32, 1, 3, 24, 9, 15, 2, 12, 13, 0
231, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 3, 0, 0, 1, 9, 5, 577, 525, 10, 6, 28, 3, 4, 27, 9, 15, 1, 12, 18, 0
232, CIVILIZATION_NORWAY, 5, 19, 24, 14, 2, 0, 0, 0, 66, 12, 125, 922, 23, 9, 7, 5, 42, 43, 66, 25, 6, 18, 3, 8
232, CIVILIZATION_EGYPT, 5, 37, 31, 24, 1, 0, 0, 0, 86, 21, 119, 74, 71, 62, 27, 29, 50, 110, 86, 46, 11, 36, 0, 58
232, CIVILIZATION_BRAZIL, 8, 47, 39, 17, 2, 0, 0, 0, 101, 28, 516, 134, 129, 24, 68, 47, 108, 142, 101, 80, 13, 46, 6, 13
232, CIVILIZATION_SCYTHIA, 4, 28, 32, 19, 0, 0, 0, 0, 63, 25, 362, 97, 71, 19, 78, 78, 56, 77, 63, 54, 7, 27, 0, 14
232, CIVILIZATION_JAPAN, 3, 23, 24, 16, 2, 0, 0, 0, 47, 12, 137, 173, 25, 25, 31, 26, 49, 76, 47, 37, 4, 22, 17, 12
232, CIVILIZATION_CHINA, 6, 34, 31, 19, 1, 0, 0, 0, 75, 25, 99, 369, 85, 41, 40, 10, 65, 97, 75, 40, 10, 33, 11, 29
232, CIVILIZATION_BRUSSELS, 1, 10, 28, 18, 0, 0, 0, 1, 9, 5, 1412, 276, 11, 6, 30, 1, 3, 24, 9, 15, 1, 11, 17, 0
232, CIVILIZATION_LA_VENTA, 1, 8, 30, 19, 4, 0, 0, 0, 10, 7, 724, 780, 10, 7, 18, 12, 13, 19, 10, 26, 1, 7, 12, 0
232, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 512, 1175, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
232, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 48, 236, 18, 6, 9, 1, 8, 27, 13, 21, 1, 10, 6, 0
232, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 2, 9, 3, 2171, 268, 9, 7, 33, 0, 5, 15, 9, 15, 2, 7, 17, 0
232, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1624, 240, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
232, CIVILIZATION_SEOUL, 1, 11, 27, 19, 2, 0, 0, 0, 11, 6, 1885, 464, 10, 9, 29, 1, 4, 27, 11, 15, 2, 11, 13, 0
232, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 3, 0, 0, 1, 9, 5, 600, 529, 10, 6, 28, 3, 4, 27, 9, 15, 1, 12, 18, 0
233, CIVILIZATION_NORWAY, 5, 19, 24, 14, 2, 0, 0, 0, 66, 12, 119, 927, 23, 9, 7, 5, 42, 43, 66, 25, 6, 18, 3, 8
233, CIVILIZATION_EGYPT, 5, 37, 31, 24, 1, 0, 0, 0, 86, 21, 122, 103, 71, 62, 27, 29, 50, 110, 86, 46, 11, 36, 0, 58
233, CIVILIZATION_BRAZIL, 8, 48, 41, 17, 2, 0, 0, 0, 103, 28, 552, 179, 132, 25, 69, 45, 112, 145, 103, 80, 13, 47, 6, 15
233, CIVILIZATION_SCYTHIA, 4, 28, 32, 19, 0, 0, 0, 0, 63, 25, 425, 175, 71, 19, 78, 78, 56, 77, 63, 54, 7, 27, 0, 14
233, CIVILIZATION_JAPAN, 3, 24, 24, 16, 2, 0, 0, 0, 48, 12, 159, 200, 25, 25, 38, 27, 49, 76, 48, 37, 4, 23, 17, 12
233, CIVILIZATION_CHINA, 6, 34, 31, 19, 1, 0, 0, 0, 75, 25, 113, 380, 85, 41, 40, 10, 65, 97, 75, 40, 10, 33, 11, 29
233, CIVILIZATION_BRUSSELS, 1, 10, 28, 18, 0, 0, 0, 1, 9, 5, 1441, 278, 11, 6, 30, 1, 3, 24, 9, 15, 1, 11, 17, 0
233, CIVILIZATION_LA_VENTA, 1, 8, 30, 19, 4, 0, 0, 0, 10, 7, 729, 794, 10, 7, 18, 14, 13, 19, 10, 26, 1, 7, 12, 0
233, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 530, 1191, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
233, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 49, 238, 18, 6, 9, 1, 8, 27, 13, 21, 1, 10, 6, 0
233, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 2, 9, 3, 2200, 269, 9, 7, 33, 0, 5, 15, 9, 15, 2, 7, 17, 0
233, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1652, 241, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
233, CIVILIZATION_SEOUL, 1, 11, 27, 19, 2, 0, 0, 0, 11, 6, 1908, 466, 10, 9, 29, 1, 4, 27, 11, 15, 2, 11, 13, 0
233, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 3, 0, 0, 1, 9, 5, 622, 532, 10, 6, 28, 3, 4, 27, 9, 15, 1, 12, 18, 0
234, CIVILIZATION_NORWAY, 5, 19, 24, 14, 2, 0, 0, 0, 66, 12, 113, 933, 23, 9, 7, 5, 42, 43, 66, 25, 6, 18, 3, 8
234, CIVILIZATION_EGYPT, 5, 37, 31, 24, 1, 0, 0, 0, 86, 21, 125, 133, 71, 62, 27, 29, 50, 110, 86, 46, 11, 36, 0, 58
234, CIVILIZATION_BRAZIL, 9, 49, 41, 17, 2, 0, 0, 0, 112, 28, 582, 225, 133, 23, 63, 45, 117, 151, 112, 80, 13, 48, 6, 17
234, CIVILIZATION_SCYTHIA, 4, 28, 33, 19, 0, 0, 0, 0, 64, 25, 344, 252, 71, 19, 75, 77, 57, 77, 64, 54, 7, 27, 0, 14
234, CIVILIZATION_JAPAN, 3, 24, 24, 17, 2, 0, 0, 0, 48, 13, 180, 227, 26, 26, 25, 26, 48, 75, 48, 37, 4, 23, 21, 12
234, CIVILIZATION_CHINA, 6, 35, 31, 19, 1, 0, 0, 0, 75, 25, 245, 390, 75, 41, 42, 10, 67, 99, 75, 40, 10, 34, 11, 29
234, CIVILIZATION_BRUSSELS, 1, 10, 28, 18, 0, 0, 0, 1, 9, 5, 1471, 280, 11, 6, 30, 1, 3, 24, 9, 15, 1, 11, 17, 0
234, CIVILIZATION_LA_VENTA, 1, 8, 30, 19, 4, 0, 0, 0, 10, 7, 734, 808, 10, 7, 18, 14, 13, 19, 10, 26, 1, 7, 12, 0
234, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 547, 1207, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
234, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 51, 239, 18, 6, 9, 1, 8, 27, 13, 21, 1, 10, 6, 0
234, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 2, 9, 3, 2214, 270, 7, 7, 17, 0, 5, 15, 9, 15, 2, 7, 0, 0
234, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1670, 242, 8, 5, 25, 0, 6, 17, 9, 15, 1, 5, 12, 0
234, CIVILIZATION_SEOUL, 1, 11, 27, 19, 2, 0, 0, 0, 11, 6, 1673, 468, 10, 9, 17, 1, 4, 27, 11, 15, 2, 11, 0, 0
234, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 3, 0, 0, 1, 9, 5, 645, 536, 10, 6, 29, 3, 4, 27, 9, 15, 1, 12, 18, 0
235, CIVILIZATION_NORWAY, 5, 19, 24, 14, 2, 0, 0, 0, 66, 12, 105, 939, 27, 9, 7, 5, 42, 43, 66, 29, 6, 18, 3, 8
235, CIVILIZATION_EGYPT, 5, 37, 32, 25, 1, 0, 0, 0, 86, 21, 12, 163, 60, 72, 27, 29, 54, 110, 86, 42, 11, 36, 0, 58
235, CIVILIZATION_BRAZIL, 9, 49, 41, 17, 2, 0, 0, 0, 112, 28, 612, 270, 133, 23, 63, 45, 117, 151, 112, 80, 13, 48, 6, 17
235, CIVILIZATION_SCYTHIA, 4, 28, 33, 19, 0, 0, 0, 0, 64, 26, 407, 101, 77, 19, 78, 78, 57, 77, 64, 54, 7, 27, 0, 14
235, CIVILIZATION_JAPAN, 3, 24, 24, 17, 2, 0, 0, 0, 49, 13, 188, 44, 26, 26, 24, 26, 48, 75, 49, 37, 4, 23, 21, 13
235, CIVILIZATION_CHINA, 6, 35, 31, 19, 1, 0, 0, 0, 75, 26, 264, 400, 75, 41, 45, 10, 67, 100, 75, 40, 10, 34, 11, 29
235, CIVILIZATION_BRUSSELS, 1, 10, 28, 18, 0, 0, 0, 1, 9, 5, 1502, 282, 11, 6, 31, 1, 3, 24, 9, 15, 1, 11, 17, 0
235, CIVILIZATION_LA_VENTA, 1, 8, 30, 19, 4, 0, 0, 0, 10, 7, 739, 822, 10, 7, 18, 14, 13, 19, 10, 26, 1, 7, 12, 0
235, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 564, 1223, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
235, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 53, 241, 18, 6, 9, 1, 8, 27, 13, 21, 1, 10, 6, 0
235, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 2, 9, 3, 2241, 271, 8, 8, 31, 0, 5, 16, 9, 15, 2, 7, 17, 0
235, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1697, 243, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
235, CIVILIZATION_SEOUL, 1, 11, 27, 19, 2, 0, 0, 0, 11, 6, 1690, 469, 10, 9, 24, 1, 4, 27, 11, 15, 2, 11, 9, 0
235, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 3, 0, 0, 1, 9, 5, 669, 539, 10, 6, 29, 3, 4, 27, 9, 15, 1, 12, 18, 0
236, CIVILIZATION_NORWAY, 5, 19, 24, 15, 3, 0, 0, 0, 66, 12, 93, 945, 27, 9, 7, 5, 42, 43, 66, 29, 6, 18, 3, 8
236, CIVILIZATION_EGYPT, 5, 37, 32, 25, 1, 0, 0, 0, 86, 21, 12, 194, 60, 78, 27, 30, 53, 108, 86, 42, 11, 36, 0, 60
236, CIVILIZATION_BRAZIL, 9, 51, 41, 17, 1, 0, 0, 0, 112, 28, 237, 314, 135, 24, 63, 45, 121, 155, 112, 80, 13, 50, 6, 17
236, CIVILIZATION_SCYTHIA, 4, 28, 33, 19, 0, 0, 0, 0, 64, 26, 470, 179, 77, 19, 79, 78, 60, 77, 64, 54, 7, 27, 0, 14
236, CIVILIZATION_JAPAN, 3, 24, 24, 17, 2, 0, 0, 0, 49, 13, 196, 71, 26, 26, 24, 26, 48, 75, 49, 37, 4, 23, 21, 13
236, CIVILIZATION_CHINA, 6, 35, 31, 19, 1, 0, 0, 0, 75, 26, 283, 410, 75, 41, 45, 10, 67, 100, 75, 40, 10, 34, 11, 29
236, CIVILIZATION_BRUSSELS, 1, 10, 28, 18, 0, 0, 0, 1, 9, 5, 1532, 283, 11, 6, 31, 1, 3, 24, 9, 15, 1, 11, 17, 0
236, CIVILIZATION_LA_VENTA, 1, 8, 30, 19, 4, 0, 0, 0, 10, 7, 744, 836, 10, 7, 18, 14, 13, 19, 10, 26, 1, 7, 12, 0
236, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 581, 1240, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
236, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 56, 243, 19, 6, 10, 1, 9, 27, 13, 21, 1, 10, 6, 0
236, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 2, 9, 3, 2268, 272, 8, 8, 31, 0, 5, 16, 9, 15, 2, 7, 17, 0
236, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1724, 244, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
236, CIVILIZATION_SEOUL, 1, 11, 29, 19, 3, 0, 0, 0, 11, 6, 984, 471, 10, 9, 24, 1, 4, 27, 11, 15, 2, 11, 9, 0
236, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 3, 0, 0, 1, 9, 5, 693, 543, 10, 6, 29, 3, 4, 27, 9, 15, 1, 12, 18, 0
237, CIVILIZATION_NORWAY, 5, 19, 24, 15, 3, 0, 0, 0, 66, 12, 81, 951, 28, 9, 7, 6, 43, 43, 66, 29, 6, 18, 3, 8
237, CIVILIZATION_EGYPT, 5, 37, 32, 25, 1, 0, 0, 0, 86, 21, 12, 224, 62, 78, 27, 30, 53, 108, 86, 44, 11, 36, 0, 60
237, CIVILIZATION_BRAZIL, 9, 52, 41, 17, 1, 0, 0, 0, 112, 28, 266, 361, 135, 24, 63, 46, 120, 155, 112, 80, 13, 51, 6, 17
237, CIVILIZATION_SCYTHIA, 4, 29, 33, 19, 0, 0, 0, 0, 64, 26, 534, 256, 76, 19, 79, 77, 59, 79, 64, 54, 7, 28, 0, 14
237, CIVILIZATION_JAPAN, 3, 23, 24, 17, 2, 0, 0, 0, 49, 13, 254, 96, 26, 26, 24, 25, 52, 75, 49, 37, 4, 22, 21, 13
237, CIVILIZATION_CHINA, 6, 35, 31, 19, 1, 0, 0, 0, 76, 26, 302, 419, 75, 41, 45, 8, 67, 103, 76, 40, 10, 34, 11, 29
237, CIVILIZATION_BRUSSELS, 1, 10, 28, 18, 0, 0, 0, 1, 9, 5, 1562, 285, 11, 6, 30, 1, 3, 24, 9, 15, 1, 11, 17, 0
237, CIVILIZATION_LA_VENTA, 1, 8, 30, 19, 4, 0, 0, 0, 10, 7, 749, 850, 10, 7, 18, 14, 13, 19, 10, 26, 1, 7, 12, 0
237, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 592, 1256, 9, 13, 17, 16, 3, 22, 10, 30, 2, 10, 0, 0
237, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 58, 245, 18, 6, 9, 1, 8, 27, 13, 21, 1, 10, 6, 0
237, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 2, 0, 0, 1, 9, 3, 2295, 273, 8, 8, 31, 0, 5, 16, 9, 15, 2, 7, 17, 0
237, CIVILIZATION_CARTHAGE, 1, 6, 30, 19, 3, 0, 0, 0, 9, 5, 1752, 245, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
